transaction_id,datetime,store_id,product_id,quantity,unit_price,payment_type
T3-1,2025-08-22T16:28:53,S005,P0040,2,170.83,online
T3-2,2025-08-22T14:19:40,S005,P0086,5,98.34,cash
T3-3,2025-08-22T09:58:41,S005,P0042,5,99.17,cash
T3-4,2025-08-22T09:32:45,S005,P0152,3,32.69,card
T3-5,2025-08-22T13:47:54,S003,P0015,2,129.24,cash
T3-6,2025-08-22T17:02:02,S008,P0133,3,192.55,card
T3-7,2025-08-22T19:09:04,S001,P0075,4,184.52,card
T3-8,2025-08-22T10:48:15,S008,P0107,4,111.87,card
T3-9,2025-08-22T15:58:22,S003,P0015,1,109.15,online
T3-10,2025-08-22T16:07:02,S006,P0107,4,125.44,card
T3-11,2025-08-22T10:44:04,S003,P0051,1,112.0,card
T3-12,2025-08-22T20:54:59,S010,P0030,2,135.22,card
T3-13,2025-08-22T19:04:32,S001,P0174,2,3.38,cash
T3-14,2025-08-22T10:03:55,S010,P0193,2,18.62,cash
T3-15,2025-08-22T18:59:42,S008,P0103,2,75.39,cash
T3-16,2025-08-22T10:22:08,S007,P0185,4,8.25,card
T3-17,2025-08-22T16:41:30,S007,P0154,2,29.21,card
T3-18,2025-08-22T12:53:52,S002,P0038,2,81.18,card
T3-19,2025-08-22T10:30:09,S010,P0109,5,110.96,card
T3-20,2025-08-22T13:43:17,S003,P0147,4,53.01,card
T3-21,2025-08-22T19:31:41,S001,P0042,2,99.19,online
T3-22,2025-08-22T11:20:15,S008,P0169,1,98.93,cash
T3-23,2025-08-22T12:02:06,S004,P0073,2,117.2,online
T3-24,2025-08-22T20:51:33,S005,P0106,2,74.56,cash
T3-25,2025-08-22T15:12:05,S006,P0064,1,192.97,online
T3-26,2025-08-22T10:54:48,S006,P0048,3,64.24,card
T3-27,2025-08-22T18:05:03,S005,P0126,2,159.18,online
T3-28,2025-08-22T18:12:53,S006,P0025,1,122.85,card
T3-29,2025-08-22T15:05:19,S001,P0040,5,194.77,card
T3-30,2025-08-22T14:03:34,S010,P0024,2,170.7,online
T3-31,2025-08-22T12:39:04,S004,P0058,2,153.52,online
T3-32,2025-08-22T20:04:22,S007,P0107,4,1.88,card
T3-33,2025-08-22T14:50:29,S007,P0184,2,129.4,online
T3-34,2025-08-22T17:56:25,S001,P0192,3,55.93,cash
T3-35,2025-08-22T10:08:42,S010,P0190,2,175.75,card
T3-36,2025-08-22T09:21:25,S006,P0055,3,174.34,online
T3-37,2025-08-22T14:35:01,S002,P0037,2,94.99,cash
T3-38,2025-08-22T17:53:05,S005,P0114,5,6.83,cash
T3-39,2025-08-22T18:38:02,S009,P0060,2,171.44,online
T3-40,2025-08-22T19:28:51,S007,P0178,1,85.58,online
T3-41,2025-08-22T12:48:17,S004,P0108,5,155.67,card
T3-42,2025-08-22T17:16:02,S008,P0040,3,27.05,cash
T3-43,2025-08-22T20:01:26,S001,P0032,1,181.2,card
T3-44,2025-08-22T09:57:24,S010,P0071,1,91.92,online
T3-45,2025-08-22T17:31:21,S004,P0098,5,78.09,online
T3-46,2025-08-22T11:51:07,S007,P0018,3,22.77,online
T3-47,2025-08-22T13:54:25,S006,P0116,2,128.66,card
T3-48,2025-08-22T13:09:40,S001,P0036,1,52.04,online
T3-49,2025-08-22T12:59:38,S001,P0003,4,120.34,online
T3-50,2025-08-22T16:48:21,S010,P0044,4,128.56,card
T3-51,2025-08-22T10:07:59,S002,P0198,4,49.85,cash
T3-52,2025-08-22T13:25:13,S010,P0068,1,130.28,cash
T3-53,2025-08-22T16:15:24,S009,P0134,3,34.85,card
T3-54,2025-08-22T19:26:51,S007,P0051,2,183.45,card
T3-55,2025-08-22T17:39:38,S001,P0010,1,197.97,online
T3-56,2025-08-22T13:22:36,S006,P0092,2,22.85,card
T3-57,2025-08-22T17:04:04,S007,P0052,5,131.61,cash
T3-58,2025-08-22T20:07:55,S001,P0028,2,163.61,card
T3-59,2025-08-22T17:07:17,S002,P0088,2,151.17,card
T3-60,2025-08-22T12:00:57,S010,P0143,3,76.81,online
T3-61,2025-08-22T12:45:08,S003,P0109,4,95.5,online
T3-62,2025-08-22T12:02:56,S007,P0117,1,148.61,cash
T3-63,2025-08-22T10:45:09,S007,P0174,4,97.34,cash
T3-64,2025-08-22T17:50:46,S004,P0090,3,150.66,online
T3-65,2025-08-22T11:33:42,S007,P0008,1,45.58,cash
T3-66,2025-08-22T15:30:12,S003,P0176,1,88.42,card
T3-67,2025-08-22T18:01:26,S009,P0122,3,3.26,card
T3-68,2025-08-22T16:11:19,S007,P0036,3,133.6,cash
T3-69,2025-08-22T14:17:23,S002,P0192,4,5.6,cash
T3-70,2025-08-22T12:57:12,S008,P0019,2,164.9,online
T3-71,2025-08-22T12:28:20,S008,P0055,5,145.86,online
T3-72,2025-08-22T09:14:44,S001,P0012,3,83.21,online
T3-73,2025-08-22T20:52:23,S010,P0172,1,169.57,card
T3-74,2025-08-22T13:20:07,S010,P0062,3,114.84,card
T3-75,2025-08-22T10:07:00,S007,P0058,1,159.83,online
T3-76,2025-08-22T16:35:29,S010,P0182,1,126.31,card
T3-77,2025-08-22T18:56:44,S008,P0052,3,62.26,cash
T3-78,2025-08-22T12:35:24,S002,P0076,3,130.58,cash
T3-79,2025-08-22T11:31:09,S008,P0185,3,148.55,card
T3-80,2025-08-22T16:39:53,S007,P0065,5,123.29,cash
T3-81,2025-08-22T15:48:08,S010,P0195,2,75.93,card
T3-82,2025-08-22T20:30:09,S010,P0018,5,50.4,cash
T3-83,2025-08-22T11:23:26,S001,P0064,2,14.38,cash
T3-84,2025-08-22T16:03:39,S010,P0061,1,23.37,cash
T3-85,2025-08-22T10:54:38,S003,P0151,4,24.01,card
T3-86,2025-08-22T19:13:45,S002,P0020,1,23.6,cash
T3-87,2025-08-22T15:20:36,S005,P0081,5,20.93,cash
T3-88,2025-08-22T16:21:39,S010,P0040,4,161.32,online
T3-89,2025-08-22T09:33:49,S003,P0054,5,11.06,card
T3-90,2025-08-22T19:43:10,S003,P0116,4,70.97,cash
T3-91,2025-08-22T19:13:15,S004,P0052,5,98.99,online
T3-92,2025-08-22T12:23:36,S001,P0161,4,90.21,card
T3-93,2025-08-22T12:20:14,S009,P0157,4,145.5,cash
T3-94,2025-08-22T18:14:51,S002,P0096,4,190.2,card
T3-95,2025-08-22T11:25:13,S009,P0041,4,34.98,card
T3-96,2025-08-22T16:52:44,S005,P0120,5,53.35,card
T3-97,2025-08-22T09:43:53,S003,P0113,3,124.89,card
T3-98,2025-08-22T16:49:48,S004,P0170,1,173.06,online
T3-99,2025-08-22T12:12:21,S001,P0138,2,145.49,cash
T3-100,2025-08-22T18:27:32,S008,P0025,4,170.46,card
T3-101,2025-08-22T17:19:56,S005,P0194,3,131.95,card
T3-102,2025-08-22T09:17:58,S002,P0132,3,159.34,online
T3-103,2025-08-22T15:02:35,S006,P0119,4,103.99,cash
T3-104,2025-08-22T15:14:23,S006,P0157,4,168.46,card
T3-105,2025-08-22T14:56:36,S005,P0043,5,125.86,online
T3-106,2025-08-22T09:11:07,S007,P0023,2,50.52,cash
T3-107,2025-08-22T11:05:39,S004,P0172,2,133.53,cash
T3-108,2025-08-22T19:22:32,S007,P0136,1,77.08,cash
T3-109,2025-08-22T11:47:02,S006,P0151,1,67.1,cash
T3-110,2025-08-22T11:02:22,S010,P0181,3,178.97,card
T3-111,2025-08-22T11:39:07,S008,P0166,2,63.38,card
T3-112,2025-08-22T20:22:00,S008,P0124,2,146.45,online
T3-113,2025-08-22T10:34:16,S006,P0168,1,171.74,cash
T3-114,2025-08-22T13:44:50,S008,P0164,5,172.12,card
T3-115,2025-08-22T19:19:57,S002,P0175,1,22.22,card
T3-116,2025-08-22T12:09:54,S006,P0171,2,38.4,online
T3-117,2025-08-22T15:08:37,S001,P0198,5,177.82,cash
T3-118,2025-08-22T17:34:53,S010,P0193,3,150.55,card
T3-119,2025-08-22T12:34:15,S002,P0200,1,67.82,cash
T3-120,2025-08-22T14:20:13,S005,P0026,3,39.47,online
T3-121,2025-08-22T18:53:02,S002,P0173,2,166.71,card
T3-122,2025-08-22T19:55:44,S006,P0127,3,174.08,cash
T3-123,2025-08-22T13:54:34,S007,P0130,2,48.07,online
T3-124,2025-08-22T20:29:43,S004,P0113,2,109.39,card
T3-125,2025-08-22T10:44:56,S003,P0059,4,10.24,online
T3-126,2025-08-22T14:14:07,S005,P0011,4,105.57,card
T3-127,2025-08-22T18:28:17,S005,P0148,1,115.69,online
T3-128,2025-08-22T10:19:36,S005,P0074,3,158.71,card
T3-129,2025-08-22T12:56:13,S009,P0143,5,18.03,online
T3-130,2025-08-22T20:15:06,S005,P0150,5,99.26,card
T3-131,2025-08-22T18:18:33,S001,P0186,3,44.29,cash
